symbol,date,price
Vandelay,2015-09-19,0
Harper,2015-09-19,0
Harris,2015-09-19,0
Fisher,2015-09-20,0
Arno,2015-09-20,0
Temp,2015-09-20,0
Vandelay,2015-09-20,0
Harper,2015-09-20,0
Harris,2015-09-20,0
Fisher,2015-09-21,5115
Arno,2015-09-21,6894
Temp,2015-09-21,0
Vandelay,2015-09-21,888
Harper,2015-09-21,260
Harris,2015-09-21,34347
Fisher,2015-09-22,4480
Arno,2015-09-22,0
Temp,2015-09-22,0
Vandelay,2015-09-22,803
Harper,2015-09-22,0
Harris,2015-09-22,10386
Fisher,2015-09-23,0
Arno,2015-09-23,0
Temp,2015-09-23,0
Vandelay,2015-09-23,1615
Harper,2015-09-23,8455
Harris,2015-09-23,9320
Fisher,2015-09-24,0
Arno,2015-09-24,0
Temp,2015-09-24,1099
Vandelay,2015-09-24,3263
Harper,2015-09-24,3922
Harris,2015-09-24,5540
Fisher,2015-09-25,0
Arno,2015-09-25,7033
Temp,2015-09-25,6081
Vandelay,2015-09-25,2676
Harper,2015-09-25,85
Harris,2015-09-25,9291
Fisher,2015-09-26,0
Arno,2015-09-26,0
Temp,2015-09-26,0
Vandelay,2015-09-26,0
Harper,2015-09-26,0
Harris,2015-09-26,0
Fisher,2015-09-27,0
Arno,2015-09-27,0
Temp,2015-09-27,0
Vandelay,2015-09-27,0
Harper,2015-09-27,0
Harris,2015-09-27,0
Fisher,2015-09-28,4825
Arno,2015-09-28,9118
Temp,2015-09-28,0
Vandelay,2015-09-28,951
Harper,2015-09-28,0
Harris,2015-09-28,40399
Fisher,2015-09-29,3505
Arno,2015-09-29,0
Temp,2015-09-29,0
Vandelay,2015-09-29,1171
Harper,2015-09-29,14575
Harris,2015-09-29,6855
Fisher,2015-09-30,0
Arno,2015-09-30,0
Temp,2015-09-30,0
Vandelay,2015-09-30,2211
Harper,2015-09-30,6840
Harris,2015-09-30,10270
Fisher,2015-10-01,0
Arno,2015-10-01,0
Temp,2015-10-01,0
Vandelay,2015-10-01,2505
Harper,2015-10-01,3990
Harris,2015-10-01,2255
Fisher,2015-10-02,0
Arno,2015-10-02,7678
Temp,2015-10-02,2831
Vandelay,2015-10-02,1945
Harper,2015-10-02,0
Harris,2015-10-02,6761
Fisher,2015-10-03,0
Arno,2015-10-03,0
Temp,2015-10-03,0
Vandelay,2015-10-03,0
Harper,2015-10-03,0
Harris,2015-10-03,0
Fisher,2015-10-04,0
Arno,2015-10-04,0
Temp,2015-10-04,0
Vandelay,2015-10-04,0
Harper,2015-10-04,0
Harris,2015-10-04,0
Fisher,2015-10-05,4000
Arno,2015-10-05,7495
Temp,2015-10-05,0
Vandelay,2015-10-05,608
Harper,2015-10-05,0
Harris,2015-10-05,36858
Fisher,2015-10-06,4175
Arno,2015-10-06,0
Temp,2015-10-06,0
Vandelay,2015-10-06,1160
Harper,2015-10-06,0
Harris,2015-10-06,7185
Fisher,2015-10-07,0
Arno,2015-10-07,0
Temp,2015-10-07,0
Vandelay,2015-10-07,1271
Harper,2015-10-07,8515
Harris,2015-10-07,9681
Fisher,2015-10-08,0
Arno,2015-10-08,0
Temp,2015-10-08,14160
Vandelay,2015-10-08,1750
Harper,2015-10-08,3846
Harris,2015-10-08,4371
Fisher,2015-10-09,0
Arno,2015-10-09,8694
Temp,2015-10-09,3071
Vandelay,2015-10-09,0
Harper,2015-10-09,325
Harris,2015-10-09,6170
Fisher,2015-10-10,0
Arno,2015-10-10,0
Temp,2015-10-10,0
Vandelay,2015-10-10,0
Harper,2015-10-10,0
Harris,2015-10-10,0
Fisher,2015-10-11,0
Arno,2015-10-11,0
Temp,2015-10-11,0
Vandelay,2015-10-11,0
Harper,2015-10-11,0
Harris,2015-10-11,0
Fisher,2015-10-12,3830
Arno,2015-10-12,4625
Temp,2015-10-12,0
Vandelay,2015-10-12,1331
Harper,2015-10-12,0
Harris,2015-10-12,36433
Fisher,2015-10-13,4195
Arno,2015-10-13,0
Temp,2015-10-13,15
Vandelay,2015-10-13,1532
Harper,2015-10-13,20405
Harris,2015-10-13,9135
Fisher,2015-10-14,0
Arno,2015-10-14,0
Temp,2015-10-14,0
Vandelay,2015-10-14,954
Harper,2015-10-14,11045
Harris,2015-10-14,11979
Fisher,2015-10-15,0
Arno,2015-10-15,0
Temp,2015-10-15,2198
Vandelay,2015-10-15,1184
Harper,2015-10-15,6416
Harris,2015-10-15,6639
Fisher,2015-10-16,0
Arno,2015-10-16,8484
Temp,2015-10-16,4097
Vandelay,2015-10-16,2116
Harper,2015-10-16,20124
Harris,2015-10-16,5599
Fisher,2015-10-17,0
Arno,2015-10-17,0
Temp,2015-10-17,0
Vandelay,2015-10-17,0
Harper,2015-10-17,0
Harris,2015-10-17,0
Fisher,2015-10-18,0
Arno,2015-10-18,0
Temp,2015-10-18,0
Vandelay,2015-10-18,0
Harper,2015-10-18,0
Harris,2015-10-18,386
Fisher,2015-10-19,4705
Arno,2015-10-19,7920
Temp,2015-10-19,115
Vandelay,2015-10-19,1180
Harper,2015-10-19,1496
Harris,2015-10-19,24928
Fisher,2015-10-20,3894
Arno,2015-10-20,0
Temp,2015-10-20,0
Vandelay,2015-10-20,814
Harper,2015-10-20,11845
Harris,2015-10-20,5350
Fisher,2015-10-21,0
Arno,2015-10-21,0
Temp,2015-10-21,0
Vandelay,2015-10-21,1894
Harper,2015-10-21,7630
Harris,2015-10-21,8623
Fisher,2015-10-22,0
Arno,2015-10-22,0
Temp,2015-10-22,4550
Vandelay,2015-10-22,788
Harper,2015-10-22,3991
Harris,2015-10-22,5981
Fisher,2015-10-23,0
Arno,2015-10-23,6764
Temp,2015-10-23,2781
Vandelay,2015-10-23,1010
Harper,2015-10-23,0
Harris,2015-10-23,6084
Fisher,2015-10-24,0
Arno,2015-10-24,0
Temp,2015-10-24,0
Vandelay,2015-10-24,0
Harper,2015-10-24,0
Harris,2015-10-24,0
Fisher,2015-10-25,0
Arno,2015-10-25,0
Temp,2015-10-25,0
Vandelay,2015-10-25,0
Harper,2015-10-25,0
Harris,2015-10-25,0
Fisher,2015-10-26,4765
Arno,2015-10-26,6412
Temp,2015-10-26,0
Vandelay,2015-10-26,224
Harper,2015-10-26,0
Harris,2015-10-26,31588
Fisher,2015-10-27,4080
Arno,2015-10-27,0
Temp,2015-10-27,160
Vandelay,2015-10-27,0
Harper,2015-10-27,8745
Harris,2015-10-27,8540
Fisher,2015-10-28,0
Arno,2015-10-28,0
Temp,2015-10-28,0
Vandelay,2015-10-28,2132
Harper,2015-10-28,7045
Harris,2015-10-28,11032
Fisher,2015-10-29,0
Arno,2015-10-29,0
Temp,2015-10-29,2915
Vandelay,2015-10-29,1197
Harper,2015-10-29,5425
Harris,2015-10-29,5081
Fisher,2015-10-30,0
Arno,2015-10-30,7079
Temp,2015-10-30,3263
Vandelay,2015-10-30,0
Harper,2015-10-30,0
Harris,2015-10-30,8939
Fisher,2015-10-31,0
Arno,2015-10-31,0
Temp,2015-10-31,0
Vandelay,2015-10-31,0
Harper,2015-10-31,0
Harris,2015-10-31,0
Fisher,2015-11-01,0
Arno,2015-11-01,0
Temp,2015-11-01,0
Vandelay,2015-11-01,0
Harper,2015-11-01,0
Harris,2015-11-01,0
Fisher,2015-11-02,3160
Arno,2015-11-02,7539
Temp,2015-11-02,0
Vandelay,2015-11-02,1740
Harper,2015-11-02,0
Harris,2015-11-02,33646
Fisher,2015-11-03,3660
Arno,2015-11-03,0
Temp,2015-11-03,0
Vandelay,2015-11-03,1023
Harper,2015-11-03,8745
Harris,2015-11-03,6600
Fisher,2015-11-04,0
Arno,2015-11-04,15
Temp,2015-11-04,280
Vandelay,2015-11-04,1525
Harper,2015-11-04,5505
Harris,2015-11-04,9455
Fisher,2015-11-05,0
Arno,2015-11-05,0
Temp,2015-11-05,0
Vandelay,2015-11-05,2490
Harper,2015-11-05,4355
Harris,2015-11-05,3230
Fisher,2015-11-06,0
Arno,2015-11-06,144
Temp,2015-11-06,0
Vandelay,2015-11-06,936
Harper,2015-11-06,0
Harris,2015-11-06,6209
Fisher,2015-11-07,0
Arno,2015-11-07,0
Temp,2015-11-07,0
Vandelay,2015-11-07,0
Harper,2015-11-07,0
Harris,2015-11-07,0
Fisher,2015-11-08,0
Arno,2015-11-08,0
Temp,2015-11-08,0
Vandelay,2015-11-08,0
Harper,2015-11-08,0
Harris,2015-11-08,0
Fisher,2015-11-09,4820
Arno,2015-11-09,7147
Temp,2015-11-09,0
Vandelay,2015-11-09,1049
Harper,2015-11-09,0
Harris,2015-11-09,41710
Fisher,2015-11-10,3535
Arno,2015-11-10,0
Temp,2015-11-10,0
Vandelay,2015-11-10,2158
Harper,2015-11-10,0
Harris,2015-11-10,9278
Fisher,2015-11-11,0
Arno,2015-11-11,0
Temp,2015-11-11,280
Vandelay,2015-11-11,2913
Harper,2015-11-11,7765
Harris,2015-11-11,235
Fisher,2015-11-12,0
Arno,2015-11-12,0
Temp,2015-11-12,0
Vandelay,2015-11-12,1408
Harper,2015-11-12,4890
Harris,2015-11-12,2620
Fisher,2015-11-13,0
Arno,2015-11-13,6840
Temp,2015-11-13,0
Vandelay,2015-11-13,1841
Harper,2015-11-13,0
Harris,2015-11-13,7935
Fisher,2015-11-14,0
Arno,2015-11-14,0
Temp,2015-11-14,0
Vandelay,2015-11-14,0
Harper,2015-11-14,0
Harris,2015-11-14,0
Fisher,2015-11-15,0
Arno,2015-11-15,0
Temp,2015-11-15,0
Vandelay,2015-11-15,0
Harper,2015-11-15,0
Harris,2015-11-15,0
Fisher,2015-11-16,0
Arno,2015-11-16,4894
Temp,2015-11-16,2800
Vandelay,2015-11-16,847
Harper,2015-11-16,0
Harris,2015-11-16,21688
Fisher,2015-11-17,0
Arno,2015-11-17,0
Temp,2015-11-17,0
Vandelay,2015-11-17,165
Harper,2015-11-17,14610
Harris,2015-11-17,0
Fisher,2015-11-18,0
Arno,2015-11-18,0
Temp,2015-11-18,0
Vandelay,2015-11-18,851
Harper,2015-11-18,9497
Harris,2015-11-18,6750
Fisher,2015-11-19,0
Arno,2015-11-19,0
Temp,2015-11-19,0
Vandelay,2015-11-19,2946
Harper,2015-11-19,4875
Harris,2015-11-19,4555
Fisher,2015-11-20,0
Arno,2015-11-20,7741
Temp,2015-11-20,0
Vandelay,2015-11-20,1259
Harper,2015-11-20,265
Harris,2015-11-20,6795
Fisher,2015-11-21,0
Arno,2015-11-21,0
Temp,2015-11-21,0
Vandelay,2015-11-21,0
Harper,2015-11-21,0
Harris,2015-11-21,0
Fisher,2015-11-22,0
Arno,2015-11-22,0
Temp,2015-11-22,0
Vandelay,2015-11-22,0
Harper,2015-11-22,0
Harris,2015-11-22,0
Fisher,2015-11-23,4160
Arno,2015-11-23,7004
Temp,2015-11-23,0
Vandelay,2015-11-23,430
Harper,2015-11-23,0
Harris,2015-11-23,37673
Fisher,2015-11-24,2925
Arno,2015-11-24,10
Temp,2015-11-24,0
Vandelay,2015-11-24,1846
Harper,2015-11-24,2915
Harris,2015-11-24,10011
Fisher,2015-11-25,0
Arno,2015-11-25,0
Temp,2015-11-25,0
Vandelay,2015-11-25,283
Harper,2015-11-25,6944
Harris,2015-11-25,6240
Fisher,2015-11-26,0
Arno,2015-11-26,0
Temp,2015-11-26,0
Vandelay,2015-11-26,0
Harper,2015-11-26,0
Harris,2015-11-26,0
Fisher,2015-11-27,0
Arno,2015-11-27,0
Temp,2015-11-27,0
Vandelay,2015-11-27,0
Harper,2015-11-27,0
Harris,2015-11-27,0
Fisher,2015-11-28,0
Arno,2015-11-28,0
Temp,2015-11-28,0
Vandelay,2015-11-28,0
Harper,2015-11-28,0
Harris,2015-11-28,0
Fisher,2015-11-29,0
Arno,2015-11-29,0
Temp,2015-11-29,0
Vandelay,2015-11-29,0
Harper,2015-11-29,0
Harris,2015-11-29,0
Fisher,2015-11-30,2791
Arno,2015-11-30,7991
Temp,2015-11-30,0
Vandelay,2015-11-30,1758
Harper,2015-11-30,0
Harris,2015-11-30,31569
Fisher,2015-12-01,1650
Arno,2015-12-01,165
Temp,2015-12-01,0
Vandelay,2015-12-01,443
Harper,2015-12-01,23255
Harris,2015-12-01,7134
Fisher,2015-12-02,0
Arno,2015-12-02,0
Temp,2015-12-02,0
Vandelay,2015-12-02,344
Harper,2015-12-02,5942
Harris,2015-12-02,7160
Fisher,2015-12-03,0
Arno,2015-12-03,0
Temp,2015-12-03,0
Vandelay,2015-12-03,319
Harper,2015-12-03,4057
Harris,2015-12-03,6190
Fisher,2015-12-04,0
Arno,2015-12-04,6985
Temp,2015-12-04,0
Vandelay,2015-12-04,1036
Harper,2015-12-04,888
Harris,2015-12-04,4333
Fisher,2015-12-05,0
Arno,2015-12-05,0
Temp,2015-12-05,0
Vandelay,2015-12-05,0
Harper,2015-12-05,0
Harris,2015-12-05,0
Fisher,2015-12-06,0
Arno,2015-12-06,0
Temp,2015-12-06,0
Vandelay,2015-12-06,0
Harper,2015-12-06,0
Harris,2015-12-06,0
Fisher,2015-12-07,2485
Arno,2015-12-07,6447
Temp,2015-12-07,0
Vandelay,2015-12-07,1618
Harper,2015-12-07,5
Harris,2015-12-07,39177
Fisher,2015-12-08,2740
Arno,2015-12-08,0
Temp,2015-12-08,0
Vandelay,2015-12-08,859
Harper,2015-12-08,1
Harris,2015-12-08,4625
Fisher,2015-12-09,0
Arno,2015-12-09,0
Temp,2015-12-09,0
Vandelay,2015-12-09,2000
Harper,2015-12-09,7916
Harris,2015-12-09,6105
Fisher,2015-12-10,0
Arno,2015-12-10,0
Temp,2015-12-10,0
Vandelay,2015-12-10,1536
Harper,2015-12-10,4095
Harris,2015-12-10,3681
Fisher,2015-12-11,0
Arno,2015-12-11,6003
Temp,2015-12-11,0
Vandelay,2015-12-11,1501
Harper,2015-12-11,0
Harris,2015-12-11,5595
Fisher,2015-12-12,0
Arno,2015-12-12,0
Temp,2015-12-12,0
Vandelay,2015-12-12,0
Harper,2015-12-12,0
Harris,2015-12-12,0
Fisher,2015-12-13,0
Arno,2015-12-13,0
